"date","load"
"2011-07-01",3577.30834960938
"2011-07-02",3547.52001953125
"2011-07-03",3544.34545898438
"2011-07-04",3745.54077148438
"2011-07-05",3747.20434570312
"2011-07-06",3776.76538085938
"2011-07-07",3925.22412109375
"2011-07-08",4094.84887695312
"2011-07-09",3845.86181640625
"2011-07-10",3885.4150390625
"2011-07-11",4048.07373046875
"2011-07-12",4047.50439453125
"2011-07-13",3811.38598632812
"2011-07-14",3723.35205078125
"2011-07-15",4000.5888671875
"2011-07-16",4177.46435546875
"2011-07-17",3962.70532226562
"2011-07-18",4086.95092773438
"2011-07-19",4066.57080078125
"2011-07-20",3970.2998046875
"2011-07-21",4041.53784179688
"2011-07-22",4304.75048828125
"2011-07-23",4074.8154296875
"2011-07-24",4093.6953125
"2011-07-25",4166.75634765625
"2011-07-26",4355.59228515625
"2011-07-27",4061.14868164062
"2011-07-28",4061.20751953125
"2011-07-29",4145.62939453125
"2011-07-30",4113.8671875
"2011-07-31",3776.16381835938
