"date","load"
"2011-07-01",3492.62953862765
"2011-07-02",3525.34795647294
"2011-07-03",3557.74537439758
"2011-07-04",3776.66604716906
"2011-07-05",3695.55425561038
"2011-07-06",3731.16564728695
"2011-07-07",3831.76362724537
"2011-07-08",3769.9853694783
"2011-07-09",3839.07925880251
"2011-07-10",3904.00222408479
"2011-07-11",3895.37964552782
"2011-07-12",3955.6799612465
"2011-07-13",3800.22862193936
"2011-07-14",3786.87375132403
"2011-07-15",3857.41830322244
"2011-07-16",4208.10461330928
"2011-07-17",4145.08782815212
"2011-07-18",3989.56876264695
"2011-07-19",4065.81540429271
"2011-07-20",4030.36151424101
"2011-07-21",4103.15818536895
"2011-07-22",4034.89109176145
"2011-07-23",4113.40402861837
"2011-07-24",4186.82048037142
"2011-07-25",4167.07560922087
"2011-07-26",4189.97693090567
"2011-07-27",4044.65940087805
"2011-07-28",4129.60547285373
"2011-07-29",4089.40529016631
"2011-07-30",4207.94371255338
"2011-07-31",4070.83700977802
