"date","load"
"2011-07-01",3540.81208017051
"2011-07-02",3696.5741254262
"2011-07-03",3768.90010000651
"2011-07-04",4021.02209186279
"2011-07-05",3814.73697185764
"2011-07-06",3670.98900686791
"2011-07-07",3761.76200942502
"2011-07-08",3675.87701935159
"2011-07-09",3664.5268611132
"2011-07-10",3677.18300518997
"2011-07-11",3660.08302438341
"2011-07-12",3725.4127044979
"2011-07-13",3527.15372999148
"2011-07-14",3517.57342909837
"2011-07-15",3584.5987838284
"2011-07-16",3909.7270090355
"2011-07-17",3828.80936903423
"2011-07-18",3642.3783431728
"2011-07-19",3713.79112650003
"2011-07-20",3664.35620713604
"2011-07-21",3700.78233723092
"2011-07-22",3606.90497812119
"2011-07-23",3659.79318202406
"2011-07-24",3757.01737508273
"2011-07-25",3720.51367294417
"2011-07-26",3750.93964966372
"2011-07-27",3598.97486826386
"2011-07-28",3694.10377498589
"2011-07-29",3610.94950934314
"2011-07-30",3733.02845249678
"2011-07-31",3603.87868221201
