"date","load"
"2011-07-01",3578.91723632812
"2011-07-02",3525.55297851562
"2011-07-03",3555.42407226562
"2011-07-04",3762.0498046875
"2011-07-05",3760.97875976562
"2011-07-06",3797.25927734375
"2011-07-07",3920.06884765625
"2011-07-08",4125.10693359375
"2011-07-09",3878.17822265625
"2011-07-10",3906.904296875
"2011-07-11",4068.1259765625
"2011-07-12",4057.60473632812
"2011-07-13",3830.11596679688
"2011-07-14",3745.61401367188
"2011-07-15",4020.421875
"2011-07-16",4215.7822265625
"2011-07-17",3979.9384765625
"2011-07-18",4111.65185546875
"2011-07-19",4106.25634765625
"2011-07-20",4000.06982421875
"2011-07-21",4060.47021484375
"2011-07-22",4327.255859375
"2011-07-23",4103.0849609375
"2011-07-24",4111.7509765625
"2011-07-25",4187.02587890625
"2011-07-26",4401.2021484375
"2011-07-27",4106.44580078125
"2011-07-28",4097.4853515625
"2011-07-29",4206.3017578125
"2011-07-30",4129.9296875
"2011-07-31",3783.63916015625
