"date","load"
"2011-07-01",3544.44367770337
"2011-07-02",3682.06404393702
"2011-07-03",3731.40180753432
"2011-07-04",3673.55934850547
"2011-07-05",3615.2981785271
"2011-07-06",3590.05686117
"2011-07-07",3520.94645592841
"2011-07-08",3533.3302802072
"2011-07-09",3530.87962578305
"2011-07-10",3517.19747733165
"2011-07-11",3494.27642499005
"2011-07-12",3453.50003562582
"2011-07-13",3478.2861960049
"2011-07-14",3459.89175569481
"2011-07-15",3405.6608735625
"2011-07-16",3325.15312594787
"2011-07-17",3349.00217477046
"2011-07-18",3362.54172333788
"2011-07-19",3317.88693627642
"2011-07-20",3316.49280056565
"2011-07-21",3283.82755080015
"2011-07-22",3277.64845190611
"2011-07-23",3292.39686891613
"2011-07-24",3281.79855132127
"2011-07-25",3234.00125099841
"2011-07-26",3200.35353205138
"2011-07-27",3237.86936534818
"2011-07-28",3198.75061828723
"2011-07-29",3175.55509296074
"2011-07-30",3187.23112219918
"2011-07-31",3243.77857605884
