"date","load"
"2011-07-01",4128.68663582369
"2011-07-02",4297.20688805309
"2011-07-03",4400.85718047147
"2011-07-04",4346.89224310276
"2011-07-05",4197.87878156206
"2011-07-06",4078.23614864903
"2011-07-07",4092.56082468076
"2011-07-08",4058.02216337498
"2011-07-09",4262.86727542308
"2011-07-10",4188.75581548587
"2011-07-11",4136.87144481225
"2011-07-12",3991.51543494152
"2011-07-13",4069.3531407484
"2011-07-14",4097.06122687442
"2011-07-15",4111.1394164634
"2011-07-16",4103.1890482216
"2011-07-17",4102.40304143486
"2011-07-18",4094.14613444199
"2011-07-19",4014.50575384998
"2011-07-20",4052.73944950525
"2011-07-21",4035.71982736394
"2011-07-22",4017.07779354351
"2011-07-23",4167.16824275728
"2011-07-24",4210.48060773577
"2011-07-25",4137.68029071927
"2011-07-26",4042.57968679663
"2011-07-27",3968.30042039546
"2011-07-28",3948.67913422579
"2011-07-29",3922.78560114289
"2011-07-30",4028.28166890322
"2011-07-31",4047.89652250071
