"date","load"
"2011-07-01",3679.38885238798
"2011-07-02",3715.35993806815
"2011-07-03",3743.53078061856
"2011-07-04",3848.99333006109
"2011-07-05",3817.5668263493
"2011-07-06",3831.01743544857
"2011-07-07",3922.20079919935
"2011-07-08",4047.42817500049
"2011-07-09",3926.06902973459
"2011-07-10",3952.24423860892
"2011-07-11",4043.32589025565
"2011-07-12",4017.94110467752
"2011-07-13",3877.44686568306
"2011-07-14",3825.09615975794
"2011-07-15",4007.49148533874
"2011-07-16",4150.3529020224
"2011-07-17",4008.36106411131
"2011-07-18",4089.84032323398
"2011-07-19",4065.91392746043
"2011-07-20",4003.4090140342
"2011-07-21",4044.60858518256
"2011-07-22",4224.63602372346
"2011-07-23",4110.67102454597
"2011-07-24",4132.51533122928
"2011-07-25",4153.36280698883
"2011-07-26",4277.26482680476
"2011-07-27",4076.09387524466
"2011-07-28",4062.32212256705
"2011-07-29",4116.03421880575
"2011-07-30",4121.39428270085
"2011-07-31",3904.12565987859
